Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
ZCN21,04/26/2021,637.75,657.5,637.5,657.5,25,+3.95%,628639,1756880
ZCN21,04/23/2021,633.75,636.5,619.25,632.5,1,+0.16%,530291,1785870
ZCN21,04/22/2021,605,631.5,604.5,631.5,25,+4.12%,545373,1831888
ZCN21,04/21/2021,593.5,609.5,588.25,606.5,14.5,+2.45%,493888,1823898
ZCN21,04/20/2021,581,597.5,580.75,592,11.5,+1.98%,485585,1810407
ZCN21,04/19/2021,576.5,584.5,576.5,580.5,6.75,+1.18%,261303,1808333
ZCN21,04/16/2021,577.5,581.75,571.5,573.75,-3,-0.52%,365946,1819509
ZCN21,04/15/2021,579.5,586.5,573.25,576.75,-2.75,-0.47%,404770,1815949
ZCN21,04/14/2021,566,582.75,565,579.5,13,+2.29%,532487,1811784
ZCN21,04/13/2021,556,569.75,552.75,566.5,10.5,+1.89%,519590,1793078
ZCN21,04/12/2021,563.75,571.25,554.25,556,-21.25,-3.68%,417315,1781820
ZCK21,04/09/2021,579,595,575.5,577.25,-2.5,-0.43%,541450,1781952
ZCK21,04/08/2021,560.75,583,559.25,579.75,19.25,+3.43%,551235,1772043
ZCK21,04/07/2021,555.75,562.25,553.75,560.5,6.25,+1.13%,322107,1767396
ZCK21,04/06/2021,553.75,561.5,552.25,554.25,1,+0.18%,279820,1763485
ZCK21,04/05/2021,561.25,564.5,549.75,553.25,-6.5,-1.16%,332985,1768738
ZCK21,04/01/2021,575,585,556.5,559.75,-4.5,-0.80%,544479,1764174
ZCK21,03/31/2021,538.25,564.25,536.25,564.25,25,+4.64%,413673,1747966
ZCK21,03/30/2021,546.25,547.5,533.75,539.25,-7.5,-1.37%,280119,1740902
ZCK21,03/29/2021,551.75,552,542.25,546.75,-5.75,-1.04%,217998,1747741
ZCK21,03/26/2021,546.5,554,544,552.5,6,+1.10%,212799,1745549
ZCK21,03/25/2021,552.25,552.5,541.5,546.5,-6.75,-1.22%,255575,1746545
ZCK21,03/24/2021,551,553.75,548.25,553.25,2,+0.36%,168847,1744484
ZCK21,03/23/2021,551.25,556,547.75,551.25,2.25,+0.41%,217179,1747316
ZCK21,03/22/2021,558,558.75,546.75,549,-8.75,-1.57%,228880,1751462
ZCK21,03/19/2021,546.25,559,545.5,557.75,11.25,+2.06%,291767,1753351
ZCK21,03/18/2021,556.75,558,545.25,546.5,-11.5,-2.06%,313472,1767332
ZCK21,03/17/2021,554,558.5,552,558,3.75,+0.68%,245044,1785985
ZCK21,03/16/2021,549.5,555.5,546.75,554.25,4.75,+0.86%,253186,1790781
ZCK21,03/15/2021,537,550.75,532.75,549.5,10.5,+1.95%,266162,1790773
ZCK21,03/12/2021,537.5,540.5,531,539,0.5,+0.09%,232144,1788597
ZCK21,03/11/2021,533,541.75,531.25,538.5,4.5,+0.84%,243377,1790287
ZCK21,03/10/2021,545.25,545.75,531.25,534,-11.75,-2.15%,322140,1790562
ZCK21,03/09/2021,547,547.5,536.5,545.75,-1.25,-0.23%,270464,1790049
ZCK21,03/08/2021,549.5,556.25,537,547,1.5,+0.27%,337944,1789945
ZCK21,03/05/2021,531,547.5,530,545.5,13,+2.44%,302549,1793871
ZCK21,03/04/2021,535,541,529.25,532.5,-2.75,-0.51%,342316,1791277
