Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
03/08/2021,434,434,434,434,-1.75,-0.40%,0,92
03/05/2021,435.75,435.75,435.75,435.75,1,+0.23%,0,92
03/04/2021,434.75,434.75,434.75,434.75,1.75,+0.40%,0,92
03/03/2021,433,433,433,433,0.25,+0.06%,0,92
03/02/2021,432.75,432.75,432.75,432.75,4.5,+1.05%,0,92
03/01/2021,428.25,428.25,428.25,428.25,1,+0.23%,0,92
02/26/2021,427.25,427.25,427.25,427.25,-4.5,-1.04%,0,92
02/25/2021,431.75,431.75,431.75,431.75,-1.75,-0.40%,0,92
02/24/2021,433.5,433.5,433.5,433.5,2.75,+0.64%,0,92
02/23/2021,430.75,430.75,430.75,430.75,0.25,+0.06%,0,92
02/22/2021,430.5,430.5,430.5,430.5,5,+1.18%,0,92
02/19/2021,425.5,425.5,425.5,425.5,-1.75,-0.41%,0,92
02/18/2021,427.25,427.25,427.25,427.25,1.25,+0.29%,0,92
02/17/2021,426,426,426,426,0.5,+0.12%,0,92
02/16/2021,425.5,425.5,425.5,425.5,3.5,+0.83%,0,92
02/12/2021,422,422,422,422,-0.5,-0.12%,0,92
02/11/2021,422.5,422.5,422.5,422.5,1.25,+0.30%,0,92
02/10/2021,421.25,421.25,421.25,421.25,-1.75,-0.41%,0,92
02/09/2021,423,423,423,423,-0.75,-0.18%,0,92
02/08/2021,423.75,423.75,423.75,423.75,1,+0.24%,0,92
02/05/2021,422.75,422.75,422.75,422.75,6.25,+1.50%,0,92
02/04/2021,416.5,416.5,416.5,416.5,2.5,+0.60%,0,92
02/03/2021,414,414,414,414,-0.5,-0.12%,0,92
02/02/2021,414.5,414.5,414.5,414.5,0.25,+0.06%,0,92
02/01/2021,414.25,414.25,414.25,414.25,1.5,+0.36%,0,92
01/29/2021,406,412.75,406,412.75,4,+0.98%,30,92
01/28/2021,408.75,408.75,408.75,408.75,-0.5,-0.12%,0,77
01/27/2021,409.25,409.25,409.25,409.25,-2,-0.49%,0,77
01/26/2021,411.25,411.25,411.25,411.25,2.75,+0.67%,0,77
01/25/2021,408.5,408.5,408.5,408.5,2.25,+0.55%,0,77
01/22/2021,406.25,406.25,406.25,406.25,-7,-1.69%,0,77
01/21/2021,413.25,413.25,413.25,413.25,0.25,+0.06%,0,77
01/20/2021,417,417,413,413,-1.5,-0.36%,60,77
01/19/2021,414.5,414.5,414.5,414.5,-0.25,-0.06%,0,17
01/15/2021,414.75,414.75,414.75,414.75,0.75,+0.18%,0,17
01/14/2021,414,414,414,414,1,+0.24%,0,17
01/13/2021,413,413,413,413,-8.5,-2.02%,0,17
01/12/2021,421.5,421.5,421.5,421.5,5.5,+1.32%,0,17
01/11/2021,416,416,416,416,1,+0.24%,0,17
01/08/2021,415,415,415,415,-1.25,-0.30%,0,17
01/07/2021,416.25,416.25,416.25,416.25,0,0.00%,0,17
01/06/2021,416.25,416.25,416.25,416.25,2.5,+0.60%,0,17
01/05/2021,413.75,413.75,413.75,413.75,3,+0.73%,0,17
01/04/2021,410.75,410.75,410.75,410.75,-0.25,-0.06%,0,17
12/31/2020,411,411,411,411,1,+0.24%,0,17
12/30/2020,405,410,405,410,2.75,+0.68%,2,17
12/29/2020,405,407.5,405,407.25,0.75,+0.18%,5,17
12/28/2020,406.5,406.5,406.5,406.5,0.5,+0.12%,0,12
12/24/2020,405,406,405,406,1.75,+0.43%,12,12
12/23/2020,404.25,404.25,404.25,404.25,0.25,+0.06%,12,12
12/22/2020,404,404,404,404,-2,-0.49%,0,0
12/21/2020,406,406,406,406,-2.75,-0.67%,0,0
12/18/2020,408.75,408.75,408.75,408.75,0,0.00%,0,0
12/17/2020,408.75,408.75,408.75,408.75,1,+0.25%,0,0
12/16/2020,407.75,407.75,407.75,407.75,1.5,+0.37%,0,0
12/15/2020,406.25,406.25,406.25,406.25,0.5,+0.12%,0,0
