"Symbol: ZCY00",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2022-03-16,726,726,726,726,-28,,
2022-03-17,744.5,744.5,744.5,744.5,18.5,,
2022-03-18,735.25,735.25,735.25,735.25,-9.25,,
2022-03-21,749.75,749.75,749.75,749.75,14.5,,
2022-03-22,746.5,746.5,746.5,746.5,-3.25,,
2022-03-23,751.25,751.25,751.25,751.25,4.75,,
2022-03-24,741.75,741.75,741.75,741.75,-9.5,,
2022-03-25,747.5,747.5,747.5,747.5,5.75,,
2022-03-28,744,744,744,744,-3.5,,
2022-03-29,724.25,724.25,724.25,724.25,-19.75,,
2022-03-30,734,734,734,734,9.75,,
2022-03-31,744.75,744.75,744.75,744.75,10.75,,
2022-04-01,731,731,731,731,-13.75,,
2022-04-04,749,749,749,749,18,,
2022-04-05,758.25,758.25,758.25,758.25,9.25,,
2022-04-06,755,755,755,755,-3.25,,
2022-04-07,761.25,761.25,761.25,761.25,6.25,,
2022-04-08,772.25,772.25,772.25,772.25,11,,
2022-04-11,760.5,760.5,760.5,760.5,-11.75,,
2022-04-12,772.25,772.25,772.25,772.25,11.75,,
2022-04-13,779.5,779.5,779.5,779.5,7.25,,
2022-04-14,786.25,786.25,786.25,786.25,6.75,,
2022-04-15,786.25,786.25,786.25,786.25,0,,
2022-04-18,809.25,809.25,809.25,809.25,23,,
2022-04-19,800,800,800,800,-9.25,,
2022-04-20,811.75,811.75,811.75,811.75,11.75,,
2022-04-21,795.25,795.25,795.25,795.25,-16.5,,
2022-04-22,796,796,796,796,0.75,,
2022-04-25,803.25,803.25,803.25,803.25,7.25,,
2022-04-26,806.25,806.25,806.25,806.25,3,,
2022-04-27,818.5,818.5,818.5,818.5,12.25,,
2022-04-28,819,819,819,819,0.5,,
2022-04-29,821.25,821.25,821.25,821.25,2.25,,
2022-05-02,816.5,816.5,816.5,816.5,-4.75,,
2022-05-03,796.5,796.5,796.5,796.5,-20,,
2022-05-04,797.75,797.75,797.75,797.75,1.25,,
2022-05-05,801,801,801,801,3.25,,
2022-05-06,788.25,788.25,788.25,788.25,-12.75,,
2022-05-09,785,785,785,785,-3.25,,
2022-05-10,788.25,788.25,788.25,788.25,3.25,,
2022-05-11,801.5,801.5,801.5,801.5,13.25,,
2022-05-12,811.5,811.5,811.5,811.5,10,,
2022-05-13,801.25,801.25,801.25,801.25,-10.25,,
2022-05-16,822,822,822,822,20.75,,
2022-05-17,813.25,813.25,813.25,813.25,-8.75,,
2022-05-18,794,794,794,794,-19.25,,
2022-05-19,795.75,795.75,795.75,795.75,1.75,,
2022-05-20,791.25,791.25,791.25,791.25,-4.5,,
2022-05-23,798.75,798.75,798.75,798.75,7.5,,
2022-05-24,794.25,794.25,794.25,794.25,-4.5,,
2022-05-25,794.75,794.75,794.75,794.75,0.5,,
2022-05-26,780,780,780,780,-14.75,,
2022-05-27,806.25,806.25,806.25,806.25,26.25,,
2022-05-31,782.5,782.5,782.5,782.5,-23.75,,
2022-06-01,752.75,752.75,752.75,752.75,-29.75,,
2022-06-02,751.75,751.75,751.75,751.75,-1,,
2022-06-03,748.5,748.5,748.5,748.5,-3.25,,
2022-06-06,767.5,767.5,767.5,767.5,19,,
2022-06-07,789.5,789.5,789.5,789.5,22,,
2022-06-08,797,797,797,797,7.5,,
2022-06-09,805.5,805.5,805.5,805.5,8.5,,
2022-06-10,805.75,805.75,805.75,805.75,0.25,,
2022-06-13,801.75,801.75,801.75,801.75,-4,,
2022-06-14,800.75,800.75,800.75,800.75,-1,,
2022-06-15,806.5,806.5,806.5,806.5,5.75,,
2022-06-16,828.25,828.25,828.25,828.25,21.75,,
2022-06-17,832,832,832,832,3.75,,
2022-06-21,793.25,793.25,793.25,793.25,-38.75,,
2022-06-22,815.5,815.5,815.5,815.5,22.25,,
2022-06-23,794.25,794.25,794.25,794.25,-21.25,,
2022-06-24,797.75,797.75,797.75,797.75,3.5,,
2022-06-27,776.75,776.75,776.75,776.75,-21,,
2022-06-28,782,782,782,782,5.25,,
2022-06-29,792.75,792.75,792.75,792.75,10.75,,
2022-06-30,751.25,751.25,751.25,751.25,-41.5,,
2022-07-01,694.625,694.625,694.625,694.625,-56.625,,
2022-07-05,726.625,726.625,726.625,726.625,32,,
2022-07-06,734.5,734.5,734.5,734.5,7.875,,
2022-07-07,724,724,724,724,-10.5,,
2022-07-08,748.25,748.25,748.25,748.25,24.25,,
2022-07-11,752,752,752,752,3.75,,
2022-07-12,709,709,709,709,-43,,
2022-07-13,715,715,715,715,6,,
2022-07-14,720,720,720,720,5,,
2022-07-15,714.25,714.25,714.25,714.25,-5.75,,
2022-07-18,722.25,722.25,722.25,722.25,8,,
2022-07-19,706.75,706.75,706.75,706.75,-15.5,,
2022-07-20,702.25,702.25,702.25,702.25,-4.5,,
2022-07-21,685.75,685.75,685.75,685.75,-16.5,,
2022-07-22,674.25,674.25,674.25,674.25,-11.5,,
2022-07-25,690,690,690,690,15.75,,
2022-07-26,707,707,707,707,17,,
2022-07-27,710.25,710.25,710.25,710.25,3.25,,
2022-07-28,725,725,725,725,14.75,,
2022-07-29,726.25,726.25,726.25,726.25,1.25,,
2022-08-01,717,717,717,717,-9.25,,
2022-08-02,713.75,713.75,713.75,713.75,-3.25,,
2022-08-03,714,714,714,714,0.25,,
2022-08-04,724.75,724.75,724.75,724.75,10.75,,
2022-08-05,732.75,732.75,732.75,732.75,8,,
2022-08-08,731,731,731,731,-1.75,,
2022-08-09,738,738,738,738,7,,
2022-08-10,743.75,743.75,743.75,743.75,5.75,,
2022-08-11,751.75,751.75,751.75,751.75,8,,
2022-08-12,722.25,722.25,722.25,722.25,-29.5,,
2022-08-15,706.75,706.75,706.75,706.75,-15.5,,
2022-08-16,693.5,693.5,693.5,693.5,-13.25,,
2022-08-17,697.5,697.5,697.5,697.5,4,,
2022-08-18,702.25,702.25,702.25,702.25,4.75,,
2022-08-19,708.5,708.5,708.5,708.5,6.25,,
2022-08-22,716,716,716,716,7.5,,
2022-08-23,740,740,740,740,24,,
2022-08-24,735.75,735.75,735.75,735.75,-4.25,,
2022-08-25,727.5,727.5,727.5,727.5,-8.25,,
2022-08-26,738.75,738.75,738.75,738.75,11.25,,
2022-08-29,753.75,753.75,753.75,753.75,15,,
2022-08-30,749.75,749.75,749.75,749.75,-4,,
2022-08-31,743.75,743.75,743.75,743.75,-6,,
