Time,Open,High,Low,Last,Change,%Chg,Volume
"06/30/2023 00:30",536.5,536.75,535.75,536,0,0.00%,454
"06/30/2023 00:00",535.5,536.5,535.5,536,0.5,+0.09%,283
"06/29/2023 23:30",536.25,536.25,535.5,535.5,-0.5,-0.09%,314
"06/29/2023 23:00",536,536.5,536,536,0,0.00%,283
"06/29/2023 22:30",535.75,536.25,535.25,536,0.25,+0.05%,205
"06/29/2023 22:00",535,536,535,535.75,0.75,+0.14%,397
"06/29/2023 21:30",535.25,535.5,534.5,535,-0.25,-0.05%,741
"06/29/2023 21:00",535.75,536.25,534.75,535.25,-0.75,-0.14%,1217
"06/29/2023 20:30",536.5,536.5,535.5,536,-0.5,-0.09%,636
"06/29/2023 20:00",533.25,536.75,533.25,536.5,3.25,+0.61%,1296
"06/29/2023 19:30",534,535.75,533.25,533.25,-0.75,-0.14%,1819
"06/29/2023 19:00",532,534.5,530.5,534,5.75,+1.09%,5960
"06/29/2023 13:00",528.25,529,526.25,528.25,0.25,+0.05%,13813
"06/29/2023 12:30",528.5,530.25,527.75,528,-0.5,-0.09%,6361
"06/29/2023 12:00",532,533.75,527,528.5,-3.5,-0.66%,9383
"06/29/2023 11:30",531.5,532.75,528.75,532,0.5,+0.09%,8588
"06/29/2023 11:00",531,533,529.5,531.5,0.75,+0.14%,6202
"06/29/2023 10:30",531.5,532.5,529.5,530.75,-0.75,-0.14%,5909
"06/29/2023 10:00",532.75,535,528,531.5,-1.25,-0.23%,17179
"06/29/2023 09:30",534.5,535,532.25,532.75,-1.75,-0.33%,8801
"06/29/2023 09:00",536.5,536.75,532.75,534.5,-1.75,-0.33%,10076
"06/29/2023 08:30",535,540,534,536.25,2.25,+0.42%,21589
"06/29/2023 07:30",533.75,534.75,532.25,534,0,0.00%,2265
"06/29/2023 07:00",534,534.75,533.5,534,0,0.00%,2945
"06/29/2023 06:30",536.25,536.25,533.75,534,-2.25,-0.42%,2765
"06/29/2023 06:00",536.75,537.25,536,536.25,-0.5,-0.09%,925
"06/29/2023 05:30",538.75,538.75,536.25,536.75,-2.25,-0.42%,1894
"06/29/2023 05:00",540.5,540.5,538.25,539,-1.75,-0.32%,499
"06/29/2023 04:30",536.75,541.75,536.75,540.75,3.75,+0.70%,1795
"06/29/2023 04:00",536.25,538,536,537,0.75,+0.14%,1003
"06/29/2023 03:30",537.75,537.75,536,536.25,-1.25,-0.23%,1179
"06/29/2023 03:00",539.25,539.75,537,537.5,-2,-0.37%,3231
"06/29/2023 02:30",541.25,542,538.75,539.5,-2.25,-0.42%,1236
"06/29/2023 02:00",541.75,543,540.5,541.75,0,0.00%,873
"06/29/2023 01:30",540.25,543,540.25,541.75,1.5,+0.28%,769
"06/29/2023 01:00",540.75,541,540,540.25,-0.5,-0.09%,250
"06/29/2023 00:30",540.75,541.75,540,540.75,-0.25,-0.05%,463
"06/29/2023 00:00",542.25,542.5,540.75,541,-1.25,-0.23%,547
"06/28/2023 23:30",541.25,542.25,540.75,542.25,1,+0.18%,208
"06/28/2023 23:00",542,542,541,541.25,-0.5,-0.09%,201
"06/28/2023 22:30",541.5,542.25,541.25,541.75,0.5,+0.09%,130
"06/28/2023 22:00",541.5,542.25,540.75,541.25,0,0.00%,339
"06/28/2023 21:30",540.75,541.75,540.75,541.25,0.5,+0.09%,234
"06/28/2023 21:00",541.5,541.5,538.75,540.75,-0.75,-0.14%,678
"06/28/2023 20:30",542.5,542.75,541,541.5,-1.25,-0.23%,588
"06/28/2023 20:00",541,543.25,540.75,542.75,1.5,+0.28%,1768
"06/28/2023 19:30",539.75,541.75,539.75,541.25,1.75,+0.32%,1170
